id,bloc
"1",260512.000000000000000
"2",260514.000000000000000
"3",262510.000000000000000
"4",262512.000000000000000
"5",262514.000000000000000
"6",262516.000000000000000
"7",264510.000000000000000
"8",264512.000000000000000
"9",264514.000000000000000
"10",264516.000000000000000
"11",264550.000000000000000
"12",264552.000000000000000
"13",264554.000000000000000
"14",264556.000000000000000
"15",266508.000000000000000
"16",266510.000000000000000
"17",266512.000000000000000
"18",266514.000000000000000
"19",266516.000000000000000
"20",266518.000000000000000
"21",266520.000000000000000
"22",266528.000000000000000
"23",266530.000000000000000
"24",266546.000000000000000
"25",266548.000000000000000
"26",266550.000000000000000
"27",266552.000000000000000
"28",266554.000000000000000
"29",266556.000000000000000
"30",266558.000000000000000
"31",268500.000000000000000
"32",268502.000000000000000
"33",268504.000000000000000
"34",268506.000000000000000
"35",268508.000000000000000
"36",268510.000000000000000
"37",268512.000000000000000
"38",268514.000000000000000
"39",268516.000000000000000
"40",268518.000000000000000
"41",268520.000000000000000
"42",268522.000000000000000
"43",268524.000000000000000
"44",268526.000000000000000
"45",268528.000000000000000
"46",268530.000000000000000
"47",268532.000000000000000
"48",268534.000000000000000
"49",268542.000000000000000
"50",268544.000000000000000
"51",268546.000000000000000
"52",268548.000000000000000
"53",268552.000000000000000
"54",268554.000000000000000
"55",268556.000000000000000
"56",268558.000000000000000
"57",270500.000000000000000
"58",270502.000000000000000
"59",270504.000000000000000
"60",270506.000000000000000
"61",270508.000000000000000
"62",270510.000000000000000
"63",270512.000000000000000
"64",270514.000000000000000
"65",270516.000000000000000
"66",270518.000000000000000
"67",270520.000000000000000
"68",270522.000000000000000
"69",270524.000000000000000
"70",270526.000000000000000
"71",270528.000000000000000
"72",270530.000000000000000
"73",270532.000000000000000
"74",270534.000000000000000
"75",270536.000000000000000
"76",270538.000000000000000
"77",270540.000000000000000
"78",270542.000000000000000
"79",270544.000000000000000
"80",270546.000000000000000
"81",270548.000000000000000
"82",270550.000000000000000
"83",270552.000000000000000
"84",270554.000000000000000
"85",270556.000000000000000
"86",270558.000000000000000
"87",272498.000000000000000
"88",272500.000000000000000
"89",272502.000000000000000
"90",272504.000000000000000
"91",272508.000000000000000
"92",272510.000000000000000
"93",272512.000000000000000
"94",272514.000000000000000
"95",272516.000000000000000
"96",272518.000000000000000
"97",272520.000000000000000
"98",272522.000000000000000
"99",272524.000000000000000
"100",272526.000000000000000
"101",272528.000000000000000
"102",272530.000000000000000
"103",272532.000000000000000
"104",272534.000000000000000
"105",272536.000000000000000
"106",272538.000000000000000
"107",272540.000000000000000
"108",272542.000000000000000
"109",272544.000000000000000
